Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 17 2021,8:00p,Sacramento Kings,97,Minnesota Timberwolves,107,Box Score,,13108,
Wed Nov 17 2021,8:00p,Houston Rockets,89,Oklahoma City Thunder,101,Box Score,,12066,
Wed Nov 17 2021,10:00p,Dallas Mavericks,98,Phoenix Suns,105,Box Score,,14838,
Wed Nov 17 2021,10:00p,Chicago Bulls,107,Portland Trail Blazers,112,Box Score,,17492,
Thu Nov 18 2021,7:30p,Golden State Warriors,104,Cleveland Cavaliers,89,Box Score,,19432,
Thu Nov 18 2021,7:30p,Washington Wizards,97,Miami Heat,112,Box Score,,19600,
Thu Nov 18 2021,8:00p,Los Angeles Clippers,108,Memphis Grizzlies,120,Box Score,,13419,
Thu Nov 18 2021,8:00p,San Antonio Spurs,90,Minnesota Timberwolves,115,Box Score,,13572,
Thu Nov 18 2021,9:00p,Philadelphia 76ers,103,Denver Nuggets,89,Box Score,,14547,
Thu Nov 18 2021,9:00p,Toronto Raptors,103,Utah Jazz,119,Box Score,,18306,
Fri Nov 19 2021,7:00p,Indiana Pacers,118,Charlotte Hornets,121,Box Score,,16787,
Fri Nov 19 2021,7:00p,Golden State Warriors,105,Detroit Pistons,102,Box Score,,20088,
Fri Nov 19 2021,7:30p,Los Angeles Lakers,108,Boston Celtics,130,Box Score,,19156,
Fri Nov 19 2021,7:30p,Orlando Magic,113,Brooklyn Nets,115,Box Score,,16966,
Fri Nov 19 2021,8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,Box Score,,17341,
Fri Nov 19 2021,8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,Box Score,,15274,
Fri Nov 19 2021,9:00p,Chicago Bulls,114,Denver Nuggets,108,Box Score,,19520,
Fri Nov 19 2021,10:00p,Dallas Mavericks,104,Phoenix Suns,112,Box Score,,17071,
Fri Nov 19 2021,10:00p,Toronto Raptors,108,Sacramento Kings,89,Box Score,,13159,
